restaurant_id,restaurant_name
4000000,Pita Pit - بيتا بيت - close
4000001,ووك تو واك  - Wok to Walk
4000002,Amha Food - امها فود  - Terminated 
4000003,ALDOUK - بروستد الدوك
4000004,Burger County - برجر كاونتي Closed
4000005,Bahrain Fish - أسماك البحرين- closed
4000006,closed - Chennai Darbar - الديوان الهندي
4000007,Fleafla Pizza - بيتزا فليفلة - TERMINATED
4000008,Terminated - كبه وتبولة
4000009,Terminated Wazzup Dog J - وازاب دوج
4000010,Tarboosh - طربوش - terminated
4000011,Fire Wok - فاير ووك - close
4000012,Creativity House-إبداع البيت - Terminated
4000013,Saf - ساف
4000014,Krispy Chicken - كرسبي تشيكن
4000015,TERMINATED - عصائر عين التفاح
4000016,Caffe Concerto -  كافيه كونرشتو
4000017,Falafel Besan - فلافل بيسان closed
4000018,Captain Fish - اسماك الكابتن - close
4000019,closed - مطعم السيران الشامي
4000020,closed - Alshawarma -  الشاورما
4000021,District Burger - ديستريكت برجر
4000022,Noodle Factory - نودلز فاكتوري
4000023,Track Burger - تراك برجر - terminated
4000024,closed - Times Square - تايمز سكوير
4000025,Koshary Abu Tarek - كشري أبوطارق
4000026,Tai - تاي - Closed
4000027,Taste of Ovan - مذاق التنور - Terminated 
4000028,Aladdin - علاء الدين - Terminated
4000029,Green Bite - اللقمة الخضراء - cloose
4000030,closed - Satay Asia - ساتي اسيا
4000031,Dokan Shawrma - دكان شاورما - close 
4000032,Pizza Bro - بيتزا برو - cloose
4000033,مذاق الجمبري اطلبها ابعه - close
4000034,Lacucinaa - لاكوتشينا closed
4000035,Tortilla - تورتيلا - cloose
4000036,Terminated - Burger and Lobster - برغر و لوبستر
4000037,Terminated- Porto Cervo - بورتو شيرفو
4000038,Broccoli Pizza and Pasta - بروكلي بيتزا و باستا
4000039,Frini - فريني closed
4000040,Terminated-Peri Peri Original - بيري بيري أوريجنال
4000041,Smart Plate - سمارت بليت 
4000042, - بيت الشاورما الطازجة  closed
4000043,Broccoli Pizza and Pasta R - بروكلي بيتزا و باستا
4000044,Terminated-  Train Station - ترين ستيشن - 
4000045,Broasted Kufi Najed - بروستد كوفي نجد
4000046,Sala Pizza Boutique  - سالا بيتزا - Close
4000047,فروج أبو العوف ملك المنسف 
4000048,بسبوسة بلح الشام   close
4000049,Obailano - أوبيلانو closed
4000050,closed - Caribbean Catch - كاريبيان كاتش 
4000051,Grilled Island  جريل ايلاند 
4000052,Mutabbag - مطبق و مسخن closed
4000053,Low Fat   اقل دهون - cloose
4000054,Hot Kunafa - الكنافة الساخنة 
4000055,Salad and More  سلطة وزيادة - Closed
4000056,Burger Tower - برج برجر-Closed
4000057,خفايف خفيفه  close
4000058,Pasta Roma - مكرونة روما  close
4000059,Navy Burger - نيفي برجر 
4000060,Falafel Pie E - فطيرة الفلافل - Terminated
4000061,terminated-Teddys - تيديز 
4000062,The Town - ذا تاون
4000063,Wazzup Dog R - وازاب دوق
4000064,D A O Sandwichws
4000065,مكان الفطيرة - close
4000066,Doshaish - دوشيش - terminated 
4000067,Shawarma Aseel - شاورما اصيل 
4000068,Terminated  - أفطار قصر أزال 
4000069,Droms - درومس close
4000070,Cacao Sampaaka - كاكاو سامبكا 
4000071,Twins Shawarma - شاورما توينز 
4000072,Broccoli Pizza & Pasta K - بروكلي بيتزا و باستا 
4000073,Al Dura - مطعم الدرة - Terminated
4000074,Cook By Wok - كووك باي ووك - Terminated
4000075,closed - 3F Burger - 3 اف برجر 
4000076,Bash Konafa - باش كنافة 
4000077,Perh - close
4000078,شاورما وجباتي
4000079,Fire Grill Q - فاير جريل cloose
4000080,Friend Restaurant - مطعم فرند - close
4000081,Hakaya - حكايا 
4000082,Sketch Burger - سكتش برجر
4000083,Gadwa Ashwa Close - غدوة عشوة 
4000084,Konafa Station - كنافة ستيشن 
4000085,Mrs Fields - مسز فيلدز
4000086,closed - Majo’s - ماجوز 
4000087,Ayam Darb alzalaq -   ايام درب الزلق اكلات كويتية
4000088,Fresh Burger - البرجر الطازج closed
4000089,Bit Al Katakit - بيت الكتاكيت - closed
4000090,Rainbow Kitchen - مطعم رينبو 
4000091,closed - Lytche - ليتشي 
4000092,closed - فله برجر اند فرايز
4000093,Furn Shawarma - فرن و شاورما - close
4000094,closed - Taigen Alshef - طواجن الشيف 
4000095,Pizza Net Terminate - بيتزا نت - close
4000096,Low Calories - لوكالوريز 
4000097,Bazej Bakery - حلويات بازج close
4000098,Chef Corner - ركن الشيف - close
4000099,Shawarma Avenue - شاورما افينيو 
4000100,Macbos - مكبوس - close
4000101,Terminated - Barvenue - بارفنيو 
4000102,Mango Forest - غابة المنجا - close
4000103,  جاوي بنشك للمأكولات الأندونيسية
4000104,Froz B  - فروز 
4000105,Leila's Breakfast - صبحية ليلى 
4000106,Shawerma Land - شاورما لاند
4000107,Food Luxury - الاكل الفاخر  - Terminated 
4000108,Chicken Bar - تشيكن بار - Terminated - close
4000109,Gourmet Cafe - جورميه كافيه  - closed
4000110,Fogon - فوغون - close
4000111,Aloha - الوها
4000112,Boulevard Vie - جادة الحياة - Terminated
4000113,Deep and Rich - ديب اند ريتش  closed
4000114,Koshari Refi - كشري ريفي
4000115,Broastwist - بروست ويست - close
4000116,Shawarma 80 - شاروما80  - closed
4000117,Crunchy Hut - بروستد كوخ المقرمش 
4000118,Pureger - بيورجر
4000119,Frst - فرست
4000120,Feresca Pasta - فيريسكا باستا 
4000121,Falafel Pie S - فطيرة الفلافل
4000122,Manualbrew Cafe - القهوة اليدوية - cloose
4000123,Al-Majlis Al-Tihami - المجلس التهامي
4000124,Senso Della Vita - معنى الحياة  - Termedited
4000125,closed - Tazza - تاتسا
4000126,Shawarmani - شاورماني - cloose
4000127,Ashbiz - اشبز
4000128,closed - Gilt - جلت 
4000129,kabsalicious - كبسة ليشز - close
4000130,And Salad - اند سالد
4000131,Nourish 9 - نورش 9
4000132,Freej Café - فريج كافيه closed
4000133,Shish Tawook - شيش طاووق  - cloose
4000134,Chicken Factory - تشيكن فاكتوري - close
4000135, Tasierah cafe - تسييرة كافيه - closed
4000136,Texas Chicken - دجاج تكساس  - close
4000137,Alsaha Aldmshkia - الساحة الدمشقية - close
4000138,Matteo Pasta - ماتيو باستا - close
4000139,Jars To GO - جارز تو قو - close
4000140,Burrito Shawerma - بوريتو شاورما  closed 
4000141,Olo Burger - اولو برجر Close
4000142,Iceberg Juice - عصائر جبل الجليد
4000143,Heroes Food - هيروز فود -close
4000144,Pit Stop - بت ستوب Cloose
4000145,Bee Pinch - قرص النحل
4000146,Taybat Alamawi - طيبات الاموي
4000147, anteball Sandwich - انتبل ساندوتش 
4000148,7Rules Burger - سفن رولز برجر
4000149,Hot Waves - هوت ويفز
4000150,Burger Supply - برجر سبلاي 
4000151,House Of Cupcakes - هاوس اوف كب كيك
4000152,Bun & Patty - بن اند باتي 
4000153,Bamboo Kitchen - بامبو كيتشن
4000154,Dallah And Story - مقهى دلة وقصة  close
4000155,Bran Bakery - بران بيكري Terminated
4000156,Morocco Mia - موروكو ميا
4000157,Shawafel - شوافل
4000158,Burgerlly - برجرلي
4000159,Sicilia's Pizza Cuts - سيسيليز بيتزا كتس
4000160,60 Speciality Coffee - قهوة ستين المختصه - close 
4000161,Campur & Sate - مشكل و ساتي
4000162,Way Pizza & Pasta - واي بيتزا  و باستا - Closed
4000163,Rangers - رينجرز  closed 
4000164,Burger Valley J - وادي البرجر - closed
4000165,Octa Noodles - أوكتا نودلز Cloose
4000166,Dr.Donery E - د. دونري
4000167,Nabt Fenjan - نبت فنجان - cloose
4000168,GGLACE - جي قلاس Cloose
4000169,Karakista Cafe - كركيستا كافيه - cloose
4000170,Layers Burger Grill - ليرز برجر 
4000171,Fries Box - فرايز بوكس - terminated Close 
4000172,Mister O1 -مستر او ون بيتزا 😋 من ميامي الى الرياض
4000173,Ce Pasta - سي باستا
4000174,Mo’men - مؤمن 
4000175,Breakout - بريكاوت
4000176,Freshness Country - فريشنيس كانتري Closed
4000177,Smokey House - سموكي هاوس
4000178,One Size - حجم واحد - close
4000179,LEVON | ليفون - close
4000180,Alseekh Express - عالسيخ اكسبرس 
4000181,Takee - تاكي - close
4000182,Udo -يودو 
4000183,Fresh N Baked  فريش ان بايكد - close
4000184,Grape Leave - ورقة عنب
4000185,Raising Cane’s - ريزينج كينز  
4000186,Satay And Peanuts - ساتي و لوز - Closed
4000187,Al Hash Burger - البرجر الهش - Closed
4000188, عنب ولقيمات (مطبخ هويدا)
4000189,One Shawarma - واحد شاورما 
4000190,Sandwichi - ساندويشي - close
4000191,Indonesia - اندونيسيا
4000192,Cactus Café - كاكتس كافيه - close
4000193,Awan Cafe - بوفيه أوان
4000194,Melting - ميلتنج 
4000195,Face Off Café - فيس اف كافيه - close
4000196,Mahyouf Hoof - محيوف حوف
4000197,Kubesa - كبيسة
4000198,Maison Global - ميزون جلوبال - close
4000199,Serial Griller - سيريال جريل 
4000200,Booze - بوز
4000201,بهارات تاج السند - Closed
4000202,Vitanic - فيتانك - close
4000203,Oromo Cafe - اورومو - close
4000204,Antalya - ( terminated ) Close انطاليا
4000205,Fruity Box - فروتي بوكس - closed
4000206,The Hat - ذا هات   closed
4000207,Arawla Juice - عصائر اراوله
4000208,9 Degrees - تسع درجات - close
4000209,To Eat - تو ايت - close 
4000210,Biryani Express -   - terminated برياني اكسبريس
4000211,Burger & Steak - برجر و ستيك - cloose
4000212,Triangle Burger - تراينجل برجر - close
4000213,Table Basket - سلة الموائد
4000214,Roma Castle - روما كاستل - close
4000215,Burger Station - برجر ستيشن 
4000216,Dish Story - حكاية طبق
4000217,Just Sandwich جست ساندوتش( Close terminated )
4000218,Dar Al Yasmin - دار الياسمين - Terminated 
4000219,Cutz Steak & Burger - كتز ستيك وبرجر - cloose
4000220,Wafee Pizza J - بيتزا وافي 
4000221,Camila - كاميلا 
4000222,Alsada Alqadima - السدة القديمة
4000223,Ajeen Pizza - عجين بيتزا - close
4000224,First Chicken - فيرست شكن - close
4000225,Closed-مطعم عشر دقائق
4000226,Refill Coffee - قهوة ريفيل
4000227,Short Trip - شورت تريب - close
4000228,pliteburger  - بلاتي برجر - close
4000229,Fogon - فوغون
4000230,terminated - Nakhaty - نكهتي للعصائر
4000231,Burgy M - برقي close
4000232,terminated - Roasting Kitchen - روستينغ كيتشن
4000233,terminated - Fork - فورك
4000234,Saj Boutiq - (Close )صاج بوتيك
4000235,Shrimp Zone - منطقة الجمبري
4000236,Falafel City - مدينة الفلافل - Closed
4000237,Taraf Café - (Close )ترف كافيه
4000238,Crunchy Point Broasted - بروست نقطة قرمشة
4000239,Kimwok - كيم ووك
4000240,مشويات قمة التاج 
4000241,Sal63on - مطعم سلطعون
4000242,Wings Factory - وينجز فاكتوري close
4000243,Shawy Shou - شوي شو - Closed
4000244,Taj Alhind Restaurant - مطعم تاج الهند
4000245,Pizza Nut - بيتزا نت - close
4000246,Makbeez - مكبيز - close
4000247,Kannur - كانور
4000248,Mr Burger T - مستر برجر
4000249,Broast Fire Chicken - تشكن فاير 
4000250,Luqaimat Mayar - لقيمات ميار
4000251,Burger Policies - برجر بوليسيس
4000252,الجادي إليك - AlJadi Elaik 
4000253,Burger & Potato - برجر وبطاطس - cloose
4000254,Goot Burger - قوت برجر - Closed
4000255,Best Potato - بيست بطاطا
4000256,Flavors  9/10 - 9/10 فليفورس
4000257,Cafe Voliere - كافيه فولير - cloose
4000258,Tooum - طعوم -Terminated 
4000259,Shawarma 80 - شاورما 80
4000260,terminated - Army Fries  - ارمي فرايز 
4000261,Terminated - Crab Avenue - كراب افنيو 
4000262,Enemene - ايني ميني - cloose
4000263,Biryanak - بريانك - cloose
